Link,Searchterm
http://dr.dk/nyheder/indland/kurdere-registreres-ikke-som-statsloese,asylansøg
http://dr.dk/nyheder/indland/kristne-kan-maaske-nemmere-faa-asyl,asylansøg
http://dr.dk/nyheder/politik/birthe-roenn-beskyldes-lyve,asylansøg
http://dr.dk/nyheder/udland/illegale-invandrere-sultestrejker-i-graekenland,asylansøg
http://dr.dk/nyheder/indland/v-forstaar-politiets-spoergsmaal-til-asylboern,asylansøg
http://dr.dk/nyheder/politik/df-danmark-bliver-en-flygtningemagnet,asylansøg
http://dr.dk/nyheder/politik/regeringen-klar-til-laegge-asylbesparelser-i-graven,asylansøg
http://dr.dk/nyheder/indland/privat-klinik-behandler-illegale-indvandrere,asylansøg
http://dr.dk/nyheder/indland/iranere-skal-ud-af-stefanskirken-tirsdag,asylansøg
http://dr.dk/nyheder/politik/europaraadet-danmark-har-problemer-med-racisme,asylansøg
http://dr.dk/nyheder/udland/fakta-seks-buskapringer-i-norge-siden-1994,asylansøg
http://dr.dk/nyheder/udland/lampedusa-dykkere-finder-yderligere-83-druknede-asylsoegere,asylansøg
http://dr.dk/nyheder/indland/dom-flygtningboern-skal-ikke-straffes-falske-pas,asylansøg
http://dr.dk/nyheder/udland/oproer-i-graesk-asyllejr-over-daarlige-forhold,asylansøg
http://dr.dk/nyheder/udland/australierne-skal-stemme-til-september,asylansøg
http://dr.dk/nyheder/udland/fn-graeske-flygtningeforhold-umenneskelige,asylansøg
http://dr.dk/nyheder/indland/politiopgaver-boer-privatiseres,asylansøg
http://dr.dk/nyheder/indland/markant-flere-faar-asyl-i-danmark,asylansøg
http://dr.dk/nyheder/politik/roenn-gav-ophold-til-irakere-fra-brorsons,asylansøg
http://dr.dk/nyheder/indland/myndigheder-har-fejlregistreret-statsloese-kurdere,asylansøg
http://dr.dk/nyheder/udland/optoejer-rammer-norske-asylcentre,asylansøg
http://dr.dk/nyheder/indland/seks-maend-er-faengslet-handel-med-kokain,asylansøg
http://dr.dk/nyheder/indland/tvangsudsendelser-til-syrien-fortsat-i-bero,asylansøg
http://dr.dk/nyheder/politik/flere-udlaendinge-henter-familien-til-danmark,asylansøg
http://dr.dk/nyheder/udland/ny-fejl-afsloeret-under-buskapring-i-norge,asylansøg
http://dr.dk/nyheder/regionale/hovedstadsomraadet/politikere-savner-svar-fra-minister,asylansøg
http://dr.dk/nyheder/politik/svaerere-faa-opholdstilladelse,asylansøg
http://dr.dk/nyheder/indland/flygtninge-sendt-paa-vandrerhjem,asylansøg
http://dr.dk/nyheder/udland/moede-i-berlin-merkel-sonderede-koalition-med-de-groenne,asylansøg
http://dr.dk/nyheder/politik/kritik-af-racisme-laegger-pres-paa-regeringen,asylansøg
http://dr.dk/nyheder/indland/minister-vender-rundt-i-sag-om-asylboern,asylansøg
http://dr.dk/nyheder/politik/stoejberg-asylcenter-i-hoersholm-er-en-magtdemonstration,asylansøg
http://dr.dk/nyheder/indland/udlaending-bag-knap-hver-fjerde-indbrud,asylansøg
http://dr.dk/nyheder/udland/1600-immigranter-smidt-ud-af-graekenland,asylansøg
http://dr.dk/nyheder/indland/dom-i-sagen-om-asylbureauet,asylansøg
