id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
531;data_gathering;requests;1566424040.949163;-0.7170751094818115;http://dr.dk/nyheder/udland/obama-immigration-virker-ikke;https://www.dr.dk/nyheder/udland/obama-immigration-virker-ikke;29704;200;True;
532;data_gathering;requests;1566424044.179275;-2.3623270988464355;http://dr.dk/nyheder/udland/analyse-graensevagternes-fald;https://www.dr.dk/nyheder/udland/analyse-graensevagternes-fald;39668;200;True;
533;data_gathering;requests;1566424048.337763;-0.7238199710845947;http://dr.dk/nyheder/udland/afrikanske-flygtninge-var-hjaelpeloese-paa-vej-mod-europa;https://www.dr.dk/nyheder/udland/afrikanske-flygtninge-var-hjaelpeloese-paa-vej-mod-europa;37626;200;True;
534;data_gathering;requests;1566424050.604948;-0.7531719207763672;http://dr.dk/nyheder/politik/valg/valg2011/gucci-helle-har-vundet-paa-forhaand;https://www.dr.dk/nyheder/politik/valg/valg2011/gucci-helle-har-vundet-paa-forhaand;32052;200;True;
535;data_gathering;requests;1566424053.8715498;-0.7245309352874756;http://dr.dk/nyheder/udland/selvudraabt-producent-af-islam-film-fortryder-intet;https://www.dr.dk/nyheder/udland/selvudraabt-producent-af-islam-film-fortryder-intet;35143;200;True;
536;data_gathering;requests;1566424056.340777;-0.6842031478881836;http://dr.dk/nyheder/udland/stadig-dansk-efter-mere-end-100-aar-i-usa;https://www.dr.dk/nyheder/udland/stadig-dansk-efter-mere-end-100-aar-i-usa;39021;200;True;
537;data_gathering;requests;1566424059.19214;-0.7060930728912354;http://dr.dk/nyheder/udland/afvist-af-new-zealand-du-er-fed;https://www.dr.dk/nyheder/udland/afvist-af-new-zealand-du-er-fed;37139;200;True;
538;data_gathering;requests;1566424061.588125;-0.7142250537872314;http://dr.dk/nyheder/udland/spaniens-unge-soeger-lykken-i-gamle-kolonier;https://www.dr.dk/nyheder/udland/spaniens-unge-soeger-lykken-i-gamle-kolonier;34129;200;True;
539;data_gathering;requests;1566424063.857582;-0.6929149627685547;http://dr.dk/nyheder/udland/usas-regering-vil-stoppe-immigrationslov;https://www.dr.dk/nyheder/udland/usas-regering-vil-stoppe-immigrationslov;29571;200;True;
540;data_gathering;requests;1566424066.5654788;-0.6188201904296875;http://dr.dk/nyheder/udland/legende-i-det-hvide-hus-stopper;https://www.dr.dk/nyheder/udland/legende-i-det-hvide-hus-stopper;29796;200;True;
541;data_gathering;requests;1566424069.58673;-0.6768162250518799;http://dr.dk/nyheder/udland/flere-hundrede-tusinde-soeger-lykken-illegalt-i-saudi-arabien;https://www.dr.dk/nyheder/udland/flere-hundrede-tusinde-soeger-lykken-illegalt-i-saudi-arabien;39275;200;True;
542;data_gathering;requests;1566424071.783881;-0.7898180484771729;http://dr.dk/nyheder/udland/i-ly-af-krisen-hoejrenationalismen-breder-sig-i-europa;https://www.dr.dk/nyheder/udland/i-ly-af-krisen-hoejrenationalismen-breder-sig-i-europa;43586;200;True;
543;data_gathering;requests;1566424074.133666;-0.6590547561645508;http://dr.dk/nyheder/kultur/kulturklubber/maanedens-roman-i-august-er-russeren-er-en-der-elsker-birketraeer;https://www.dr.dk/nyheder/kultur/kulturklubber/maanedens-roman-i-august-er-russeren-er-en-der-elsker-birketraeer;38923;200;True;
544;data_gathering;requests;1566424077.058401;-0.7576708793640137;http://dr.dk/nyheder/udland/en-uforsonlig-mand-der-aldrig-gav-op;https://www.dr.dk/nyheder/udland/en-uforsonlig-mand-der-aldrig-gav-op;32974;200;True;
545;data_gathering;requests;1566424079.3949308;-0.6728231906890869;http://dr.dk/nyheder/penge/i-udlandet-kan-de-rige-koebe-sig-til-opholdstilladelse;https://www.dr.dk/nyheder/penge/i-udlandet-kan-de-rige-koebe-sig-til-opholdstilladelse;32541;200;True;
546;data_gathering;requests;1566424081.806002;-0.883105993270874;http://dr.dk/nyheder/udland/rester-af-beroemt-tango-cafe-fundet;https://www.dr.dk/nyheder/udland/rester-af-beroemt-tango-cafe-fundet;30598;200;True;
547;data_gathering;requests;1566424085.122049;-0.7770018577575684;http://dr.dk/sporten/fodbold/championsleague/held-og-lykke-med-stoppe-ham-her-jores;https://www.dr.dk/sporten/fodbold/championsleague/held-og-lykke-med-stoppe-ham-her-jores;39586;200;True;
548;data_gathering;requests;1566424087.925031;-0.7224850654602051;http://dr.dk/nyheder/udland/marine-le-pen-datteren;https://www.dr.dk/nyheder/udland/marine-le-pen-datteren;40293;200;True;
549;data_gathering;requests;1566424090.902983;-0.8117580413818359;http://dr.dk/nyheder/viden/tech/laes-paa-universitetet-med-din-smartphone;https://www.dr.dk/nyheder/viden/tech/laes-paa-universitetet-med-din-smartphone;42478;200;True;
550;data_gathering;requests;1566424093.362207;-0.700606107711792;http://dr.dk/nyheder/udland/gaddafi-forgifter-drikkevandet-naer-tripoli;https://www.dr.dk/nyheder/udland/gaddafi-forgifter-drikkevandet-naer-tripoli;37186;200;True;
551;data_gathering;requests;1566424096.5574179;-0.7322242259979248;http://dr.dk/nyheder/udland/psykisk-ustabil-og-bevaebnet;https://www.dr.dk/nyheder/udland/psykisk-ustabil-og-bevaebnet;38943;200;True;
552;data_gathering;requests;1566424098.94494;-0.9085948467254639;http://dr.dk/nyheder/kultur/kulturklubber/olga-grjasnowa-svarer-paa-dr-romanklubbens-spoergsmaal;https://www.dr.dk/nyheder/kultur/kulturklubber/olga-grjasnowa-svarer-paa-dr-romanklubbens-spoergsmaal;59970;200;True;
553;data_gathering;requests;1566424101.4869812;-0.9314167499542236;http://dr.dk/nyheder/kultur/kulturklubber/om-russere-der-elsker-birketraeer-mussolini-og-danskhed;https://www.dr.dk/nyheder/kultur/kulturklubber/om-russere-der-elsker-birketraeer-mussolini-og-danskhed;66443;200;True;
554;data_gathering;requests;1566424104.805443;-0.8869619369506836;http://dr.dk/nyheder/udland/broes-loesladelse-minut-minut;https://www.dr.dk/nyheder/udland/broes-loesladelse-minut-minut;38780;200;True;
555;data_gathering;requests;1566424108.088824;-1.051764965057373;http://dr.dk/nyheder/kultur/kulturklubber/christina-vorre-slaegten;https://www.dr.dk/nyheder/kultur/kulturklubber/christina-vorre-slaegten;57839;200;True;
556;data_gathering;requests;1566424111.11412;-1.0336120128631592;http://dr.dk/nyheder/udland/opposition-italien-er-ikke-et-demokrati;https://www.dr.dk/nyheder/udland/opposition-italien-er-ikke-et-demokrati;49476;200;True;
557;data_gathering;requests;1566424114.447835;-0.7849850654602051;http://dr.dk/nyheder/udland/laes-hele-obamas-tale-paa-dansk;https://www.dr.dk/nyheder/udland/laes-hele-obamas-tale-paa-dansk;70421;200;True;
558;data_gathering;requests;1566424117.669583;-0.6934957504272461;http://dr.dk/nyheder/regionale/nordjylland/flere-flygtninge-til-aalborg;https://www.dr.dk/nyheder/regionale/nordjylland/flere-flygtninge-til-aalborg;31443;200;True;
559;data_gathering;requests;1566424120.728234;-0.7952780723571777;http://dr.dk/nyheder/udland/syriske-flygtninge-stroemmer-til-sverige;https://www.dr.dk/nyheder/udland/syriske-flygtninge-stroemmer-til-sverige;31451;200;True;
560;data_gathering;requests;1566424123.415353;-0.788585901260376;http://dr.dk/nyheder/regionale/nordjylland/integration-af-flygtninge-i-fare;https://www.dr.dk/nyheder/regionale/nordjylland/integration-af-flygtninge-i-fare;31997;200;True;
561;data_gathering;requests;1566424126.525342;-0.7435100078582764;http://dr.dk/nyheder/regionale/trekanten/mange-syriske-flygtninge-i-jelling;https://www.dr.dk/nyheder/regionale/trekanten/mange-syriske-flygtninge-i-jelling;29910;200;True;
562;data_gathering;requests;1566424129.339465;-0.7463700771331787;http://dr.dk/nyheder/regionale/nordjylland/frivillig-flygtninge-fordeling-i-fare;https://www.dr.dk/nyheder/regionale/nordjylland/frivillig-flygtninge-fordeling-i-fare;32681;200;True;
